night,n_bars_h1,n_bars_h2,h1_high,h1_low,entry_ts,entry_mid,entry_spread,exit_ts,exit_mid,exit_spread,midpoint,dev_pips,side,traded,entry_px,exit_px,gross_pips,spread_cost_pips,net_pips,year,mae_pips,mfe_pips,bars_in_trade
2024-09-17,236.0,240.0,1.092705,1.09037,2024-09-18 01:59:00+00:00,1.09062,0.0001514583333333,2024-09-17 05:59:00+00:00,1.0907650000000002,0.0001504166666666,1.0915375,-9.175000000001264,BUY,True,1.0906957291666666,1.090689791666667,1.450000000002838,3.018749999999,-1.5687499999961618,2024,0.0,0.0,0
2024-09-18,240.0,240.0,1.09104,1.08826,2024-09-19 01:59:00+00:00,1.090845,0.000213488372093,2024-09-18 05:59:00+00:00,1.090145,0.0001898076923076,1.08965,11.950000000000571,SELL,True,1.0907382558139536,1.0902399038461537,7.0000000000014495,4.032960644006,2.9670393559954498,2024,0.0,0.0,0
2024-09-25,240.0,240.0,1.09279,1.0893350000000002,2024-09-26 01:59:00+00:00,1.0920200000000002,0.0001895384615384,2024-09-25 05:59:00+00:00,1.0870350000000002,0.0001612,1.0910625,9.575000000001666,SELL,True,1.091925230769231,1.0871156000000002,49.85000000000017,3.507384615384,46.342615384616174,2024,0.0,0.0,0
2024-09-26,238.0,240.0,1.09072,1.088215,2024-09-27 01:59:00+00:00,1.09044,0.0001638775510204,2024-09-26 05:59:00+00:00,1.09275,0.0001735714285714,1.0894675,9.725000000000428,SELL,True,1.09035806122449,1.0928367857142858,-23.100000000000342,3.374489795918,-26.47448979591834,2024,0.0,0.0,0
2024-09-30,240.0,240.0,1.0934,1.0894350000000002,2024-10-01 01:59:00+00:00,1.09325,0.0002008474576271,2024-09-30 05:59:00+00:00,1.088545,0.0001778260869565,1.0914175,18.325000000001257,SELL,True,1.0931495762711865,1.0886339130434783,47.04999999999959,3.786735445836,43.26326455416359,2024,0.0,0.0,0
2024-10-02,240.0,240.0,1.1025,1.09916,2024-10-03 01:59:00+00:00,1.100295,0.0001699999999999,2024-10-02 05:59:00+00:00,1.093985,0.0001657142857142,1.10083,-5.349999999999522,BUY,True,1.10038,1.093902142857143,-63.10000000000038,3.357142857141,-66.45714285714138,2024,0.0,0.0,0
2024-10-07,240.0,240.0,1.103415,1.10036,2024-10-08 01:59:00+00:00,1.1006200000000002,0.0002290322580645,2024-10-07 05:59:00+00:00,1.1041800000000002,0.000186923076923,1.1018875,-12.67499999999977,BUY,True,1.1007345161290325,1.1040865384615386,35.60000000000007,4.159553349875,31.44044665012507,2024,0.0,0.0,0
2024-10-08,240.0,240.0,1.105395,1.0979550000000002,2024-10-09 01:59:00+00:00,1.10404,0.0002076767676767,2024-10-08 05:59:00+00:00,1.0986250000000002,0.0001739344262295,1.1016750000000002,23.649999999997284,SELL,True,1.1039361616161616,1.098711967213115,54.149999999997256,3.816111939062,50.33388806093526,2024,0.0,0.0,0
2024-10-09,240.0,240.0,1.10805,1.105555,2024-10-10 01:59:00+00:00,1.10563,0.0001679452054794,2024-10-09 05:59:00+00:00,1.10596,0.000204923076923,1.1068025,-11.725000000002428,BUY,True,1.1057139726027396,1.1058575384615386,3.300000000001635,3.728682824024,-0.4286828240223652,2024,0.0,0.0,0
2024-10-14,240.0,238.0,1.105445,1.1030600000000002,2024-10-15 01:59:00+00:00,1.105195,0.0001863265306122,2024-10-14 05:59:00+00:00,1.105395,0.0001782051282051,1.1042525,9.424999999998462,SELL,True,1.105101836734694,1.1054841025641025,-1.99999999999978,3.645316588173,-5.645316588172779,2024,0.0,0.0,0
2024-10-15,240.0,240.0,1.10596,1.102675,2024-10-16 01:59:00+00:00,1.10377,0.0001715151515151,2024-10-15 05:59:00+00:00,1.10351,0.0001852777777777,1.1043175,-5.475000000001451,BUY,True,1.1038557575757575,1.103417361111111,-2.5999999999992696,3.5679292929279995,-6.167929292927269,2024,0.0,0.0,0
2024-10-16,239.0,240.0,1.10454,1.09951,2024-10-17 01:59:00+00:00,1.10417,0.0001762264150943,2024-10-16 05:59:00+00:00,1.10447,0.0001997142857142,1.102025,21.450000000000635,SELL,True,1.104081886792453,1.1045698571428573,-2.9999999999996696,3.759407008085,-6.759407008084669,2024,0.0,0.0,0
2024-10-21,239.0,240.0,1.10524,1.10363,2024-10-22 01:59:00+00:00,1.10378,0.0001965909090909,2024-10-21 05:59:00+00:00,1.1034800000000002,0.0001755102040816,1.104435,-6.550000000000722,BUY,True,1.1038782954545454,1.1033922448979594,-2.999999999997449,3.721011131725,-6.721011131722449,2024,0.0,0.0,0
2024-10-22,239.0,240.0,1.106595,1.105015,2024-10-23 01:59:00+00:00,1.10526,0.0001912790697674,2024-10-22 05:59:00+00:00,1.103965,0.0001652631578947,1.105805,-5.450000000002397,BUY,True,1.1053556395348836,1.1038823684210528,-12.94999999999824,3.565422276621,-16.51542227661924,2024,0.0,0.0,0
2024-10-30,240.0,240.0,1.1010050000000002,1.0985300000000002,2024-10-31 01:59:00+00:00,1.098975,0.0001569491525423,2024-10-30 05:59:00+00:00,1.097755,0.0001875757575757,1.0997675000000002,-7.925000000001958,BUY,True,1.0990534745762712,1.097661212121212,-12.199999999999989,3.4452491011799995,-15.645249101179989,2024,0.0,0.0,0
2024-11-04,238.0,240.0,1.1030950000000002,1.101,2024-11-05 01:59:00+00:00,1.102845,0.0002007407407407,2024-11-04 05:59:00+00:00,1.10108,0.0001949999999999,1.1020475,7.975000000000065,SELL,True,1.1027446296296295,1.1011775,17.650000000000166,3.957407407406,13.692592592594163,2024,0.0,0.0,0
2024-11-07,237.0,240.0,1.109185,1.10695,2024-11-08 01:59:00+00:00,1.1073400000000002,0.0002398529411764,2024-11-07 05:59:00+00:00,1.106435,0.0002335211267605,1.1080675000000002,-7.27499999999992,BUY,True,1.1074599264705884,1.1063182394366198,-9.050000000001557,4.733740679369,-13.783740679370556,2024,0.0,0.0,0
2024-11-11,236.0,240.0,1.1029750000000005,1.1008650000000002,2024-11-12 01:59:00+00:00,1.1009700000000002,0.0002265217391304,2024-11-11 05:59:00+00:00,1.1035150000000002,0.0002394999999999,1.1019200000000002,-9.500000000000064,BUY,True,1.101083260869565,1.1033952500000004,25.450000000000195,4.660217391303,20.789782608697195,2024,0.0,0.0,0
2024-11-13,237.0,240.0,1.10495,1.10278,2024-11-14 01:59:00+00:00,1.1045250000000002,0.0002332222222222,2024-11-13 05:59:00+00:00,1.1020850000000002,0.0002126315789473,1.103865,6.6000000000010495,SELL,True,1.1044083888888891,1.1021913157894738,24.399999999999977,4.458538011695,19.94146198830498,2024,0.0,0.0,0
2024-11-20,238.0,240.0,1.1080450000000002,1.1066700000000005,2024-11-21 01:59:00+00:00,1.107935,0.0002335,2024-11-20 05:59:00+00:00,1.104905,0.0001970909090909,1.1073575000000004,5.774999999994535,SELL,True,1.1078182499999998,1.1050035454545457,30.29999999999866,4.305909090909,25.99409090908966,2024,0.0,0.0,0
2024-11-21,238.0,240.0,1.1145300000000002,1.11091,2024-11-22 01:59:00+00:00,1.11448,0.0002329885057471,2024-11-21 05:59:00+00:00,1.109235,0.0002136363636363,1.1127200000000002,17.599999999997618,SELL,True,1.1143635057471264,1.1093418181818182,52.44999999999944,4.466248693833999,47.983751306165445,2024,0.0,0.0,0
2024-11-26,236.0,240.0,1.1105,1.1016750000000002,2024-11-27 01:59:00+00:00,1.101805,0.0002113580246913,2024-11-26 05:59:00+00:00,1.110955,0.0002126666666666,1.1060875,-42.825000000001886,BUY,True,1.1019106790123456,1.1108486666666666,91.49999999999991,4.240246913579,87.25975308642091,2024,0.0,0.0,0
2024-11-28,236.0,240.0,1.10452,1.10151,2024-11-29 01:59:00+00:00,1.1023200000000002,0.0002233333333333,2024-11-28 05:59:00+00:00,1.10118,0.000225,1.103015,-6.9499999999989015,BUY,True,1.102431666666667,1.1010675,-11.400000000001407,4.483333333332999,-15.88333333333441,2024,0.0,0.0,0
2024-12-02,236.0,240.0,1.10126,1.099555,2024-12-03 01:59:00+00:00,1.10099,0.0002281538461538,2024-12-02 05:59:00+00:00,1.10229,0.0002128205128205,1.1004075,5.824999999999303,SELL,True,1.100875923076923,1.1023964102564103,-13.000000000000789,4.409743589743,-17.40974358974379,2024,0.0,0.0,0
2024-12-03,236.0,240.0,1.10317,1.100155,2024-12-04 01:59:00+00:00,1.1005,0.0002254761904761,2024-12-03 05:59:00+00:00,1.1007250000000002,0.0002311666666666,1.1016625,-11.624999999999552,BUY,True,1.1006127380952382,1.100609416666667,2.250000000001417,4.566428571426999,-2.3164285714255817,2024,0.0,0.0,0
2024-12-04,236.0,240.0,1.09926,1.096065,2024-12-05 01:59:00+00:00,1.096295,0.0002048571428571,2024-12-04 05:59:00+00:00,1.099685,0.0002365714285714,1.0976625,-13.67499999999966,BUY,True,1.0963974285714286,1.0995667142857144,33.90000000000004,4.414285714285,29.48571428571504,2024,0.0,0.0,0
2024-12-10,234.0,240.0,1.10026,1.09845,2024-12-11 01:59:00+00:00,1.100055,0.0002228813559322,2024-12-10 05:59:00+00:00,1.09628,0.0002027868852459,1.099355,6.999999999999229,SELL,True,1.099943559322034,1.096381393442623,37.75000000000084,4.256682411781,33.49331758821984,2024,0.0,0.0,0
2024-12-11,227.0,240.0,1.10609,1.10014,2024-12-12 01:59:00+00:00,1.104165,0.0002199999999999,2024-12-11 05:59:00+00:00,1.09999,0.0001925925925926,1.1031149999999998,10.500000000002174,SELL,True,1.104055,1.1000862962962965,41.7500000000004,4.125925925924999,37.6240740740754,2024,0.0,0.0,0
2024-12-16,235.0,240.0,1.102865,1.1003500000000002,2024-12-17 01:59:00+00:00,1.102855,0.0002313793103448,2024-12-16 05:59:00+00:00,1.102775,0.0001914999999999,1.1016075,12.47499999999846,SELL,True,1.1027393103448275,1.10287075,0.7999999999985796,4.228793103447,-3.4287931034484203,2024,0.0,0.0,0
2024-12-18,237.0,240.0,1.1070350000000002,1.10394,2024-12-19 01:59:00+00:00,1.10678,0.0002082499999999,2024-12-18 05:59:00+00:00,1.0998450000000002,0.0002507843137254,1.1054875000000002,12.924999999999187,SELL,True,1.106675875,1.0999703921568629,69.34999999999913,4.590343137252999,64.75965686274613,2024,0.0,0.0,0
2024-12-19,237.0,240.0,1.10852,1.1062,2024-12-20 01:59:00+00:00,1.106605,0.0002277611940298,2024-12-19 05:59:00+00:00,1.1053100000000002,0.0002224050632911,1.10736,-7.549999999998391,BUY,True,1.106718880597015,1.1051987974683546,-12.94999999999824,4.501662573209,-17.45166257320724,2024,0.0,0.0,0
